epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.50522,1.25397,2.69527,1.74236,0.00333,1,0.02397,0.00809,1.84015,3.41559,2.73124,0.00012,0.00012,0.00012
2,5.13601,1.12154,2.42596,1.63779,0.00333,1,0.24755,0.08491,1.26233,3.20349,2.55726,0.000254852,0.000254852,0.000254852
3,6.84835,0.90064,1.71733,1.55505,0.00333,1,0.38999,0.19171,1.26403,2.95607,2.61011,0.00038416,0.00038416,0.00038416
4,8.44354,1.00493,1.75283,1.6348,0.00333,1,0.5611,0.15707,1.29209,2.94472,2.73353,0.000507924,0.000507924,0.000507924
5,10.0143,0.93511,1.5153,1.51722,0.00333,1,0.47128,0.21408,1.61185,3.09006,3.38626,0.000626144,0.000626144,0.000626144
6,11.5798,0.97596,1.49507,1.55333,0.00333,1,0.61156,0.16788,1.82777,3.30546,3.70211,0.00073882,0.00073882,0.00073882
7,13.1041,1.05008,1.46048,1.64607,0.13622,0.6,0.25072,0.05788,2.06908,3.66971,3.42829,0.000845952,0.000845952,0.000845952
8,14.6114,0.93906,1.49148,1.49448,0.003,0.9,0.27,0.08597,1.74541,3.00964,3.07763,0.00094754,0.00094754,0.00094754
9,16.1347,1.01929,1.5381,1.59699,0.33094,0.34863,0.30367,0.10884,1.79629,2.72909,3.75794,0.00104358,0.00104358,0.00104358
10,17.6235,0.91897,1.34067,1.48572,0.27009,0.40747,0.23733,0.07515,2.34254,2.86725,3.66718,0.00113408,0.00113408,0.00113408
11,19.166,1.0078,1.30075,1.53872,0.18461,0.4,0.19008,0.06157,1.91814,2.83009,3.62595,0.00121904,0.00121904,0.00121904
12,20.7069,1.03034,1.2671,1.6076,0.08584,0.1,0.02029,0.00448,3.52316,8.24717,4.635,0.00129845,0.00129845,0.00129845
13,22.1787,1.01591,1.31389,1.56035,0.00033,0.1,0.00039,7e-05,4.65909,7.7394,7.09769,0.00137232,0.00137232,0.00137232
14,23.6936,0.97002,1.30242,1.54207,0.02737,0.1,0.00343,0.00037,4.9604,14.7878,8.97752,0.00144064,0.00144064,0.00144064
